	Significant	X.Log.P.value.	Difference	Majority.protein.IDs	Protein.IDs	Protein.names	Gene.names	id	Fasta.headers	Peptide.counts..all.	Peptide.counts..razor.unique.	Peptide.counts..unique.	Number.of.proteins	Peptides.LM2_WCL_1	Peptides.LM2_WCL_2	Peptides.LM2_WCL_3	Peptides.MDAMB231_WCL_1	Peptides.MDAMB231_WCL_2	Peptides.MDAMB231_WCL_3	Unique.peptides.LM2_WCL_1	Unique.peptides.LM2_WCL_2	Unique.peptides.LM2_WCL_3	Unique.peptides.MDAMB231_WCL_1	Unique.peptides.MDAMB231_WCL_2	Unique.peptides.MDAMB231_WCL_3	Sequence.length	Sequence.lengths	Identification.type.LM2_WCL_1	Identification.type.LM2_WCL_2	Identification.type.LM2_WCL_3	Identification.type.MDAMB231_WCL_1	Identification.type.MDAMB231_WCL_2	Identification.type.MDAMB231_WCL_3	Sequence.coverage.LM2_WCL_1....	Sequence.coverage.LM2_WCL_2....	Sequence.coverage.LM2_WCL_3....	Sequence.coverage.MDAMB231_WCL_1....	Sequence.coverage.MDAMB231_WCL_2....	Sequence.coverage.MDAMB231_WCL_3....	Symbol.color	Symbol.type	Symbol.size	Show.label	Only.identified.by.site	Reverse	Potential.contaminant	Student.s.T.test.Significant.LM2_MDA	Student.s.T.test.significant	Peptides	Razor...unique.peptides	Unique.peptides	Sequence.coverage....	Unique...razor.sequence.coverage....	Unique.sequence.coverage....	Mol..weight..kDa.	Q.value	Score	Student.s.T.test.p.value.LM2_MDA	Student.s.T.test.q.value.LM2_MDA	Student.s.T.test.Difference.LM2_MDA	Student.s.T.test.Test.statistic.LM2_MDA	LFQ.intensity.LM2_WCL_1	LFQ.intensity.LM2_WCL_2	LFQ.intensity.LM2_WCL_3	LFQ.intensity.MDAMB231_WCL_1	LFQ.intensity.MDAMB231_WCL_2	LFQ.intensity.MDAMB231_WCL_3	DEGs	DEPs	namesdep
2290	+	1.41615899896269	2.70426241556804	Q99816	Q99816	Tumor susceptibility gene 101 protein	TSG101	3621	Tumor susceptibility gene 101 protein OS=Homo sapiens OX=9606 GN=TSG101 PE=1 SV=2	16	16	16	1	5	6	4	1	1	4	5	6	4	1	1	4	390	390	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	12.6	12.6	15.1	2.3	5.6	12.3	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	16	16	16	38.2	38.2	38.2	43.944	0	323.31	0.038356679266604	0.0485632798573975	2.70426241556804	3.04121187695799	26.3711585998535	26.9282970428467	24.7383041381836	22.4097309112549	23.0713195800781	24.4439220428467	UP	UP	TSG101
674	+	2.11485458101241	2.67985280354818	P19474	P19474	E3 ubiquitin-protein ligase TRIM21	TRIM21	1111	E3 ubiquitin-protein ligase TRIM21 OS=Homo sapiens OX=9606 GN=TRIM21 PE=1 SV=1	3	3	3	1	3	3	3	0	0	0	3	3	3	0	0	0	475	475	By MS/MS	By MS/MS	By MS/MS				8.2	8.2	8.2	0	0	0	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	3	3	3	8.2	8.2	8.2	54.169	0	7.5121	0.00767618475392799	0.0188207407407407	2.67985280354818	4.96546786326617	25.8876247406006	25.799934387207	25.6675777435303	23.1517677307129	22.1545848846436	24.0092258453369	UP	UP	TRIM21
1818	+	4.83224136825322	2.66838518778483	Q5TGZ0	Q5TGZ0	MICOS complex subunit MIC10	MINOS1	2710	MICOS complex subunit MIC10 OS=Homo sapiens OX=9606 GN=MICOS10 PE=1 SV=1	2	2	2	1	2	2	2	1	2	1	2	2	2	1	2	1	78	78	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	57.7	57.7	57.7	14.1	57.7	14.1	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	2	2	2	57.7	57.7	57.7	8.8081	0	13.237	1.47149446126944e-05	0.00262857142857143	2.66838518778483	25.2035718338952	26.0989665985107	26.2209243774414	26.2502460479736	23.7063369750977	23.4694709777832	23.3891735076904	UP	UP	MINOS1
1880	+	2.37889662648961	2.66816520690918	Q70UQ0	Q70UQ0	Inhibitor of nuclear factor kappa-B kinase-interacting protein	IKBIP	2850	Inhibitor of nuclear factor kappa-B kinase-interacting protein OS=Homo sapiens OX=9606 GN=IKBIP PE=1 SV=1	12	12	12	1	11	12	7	3	2	5	11	12	7	3	2	5	350	350	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	34.3	34.3	20.3	8.3	4.6	18.9	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	12	12	12	34.3	34.3	34.3	39.309	0	146.41	0.00417929833101853	0.0138268876611418	2.66816520690918	5.88043040228172	28.7113208770752	28.5497703552246	27.6450576782227	25.1256942749023	25.581901550293	26.1940574645996	UP	UP	IKBIP
795	+	5.32112690364556	2.65944290161133	P29034	P29034	Protein S100-A2	S100A2	1275	Protein S100-A2 OS=Homo sapiens OX=9606 GN=S100A2 PE=1 SV=3	4	4	4	1	3	4	4	2	2	4	3	4	4	2	2	4	98	98	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	27.6	27.6	27.6	26.5	26.5	27.6	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	4	4	4	27.6	27.6	27.6	11.117	0	26.052	4.77389756912274e-06	0	2.65944290161133	33.4328250758841	29.1990814208984	29.2820663452148	29.322639465332	26.6322860717773	26.7173805236816	26.4757919311523	UP	UP	S100A2
273	+	1.55286285393902	2.542693456014	O75815	O75815	Breast cancer anti-estrogen resistance protein 3	BCAR3	535	Breast cancer anti-estrogen resistance protein 3 OS=Homo sapiens OX=9606 GN=BCAR3 PE=1 SV=1	5	5	5	1	4	5	5	1	0	1	4	5	5	1	0	1	825	825	By MS/MS	By MS/MS	By MS/MS	By matching		By matching	5.9	9.8	9.8	1.5	0	1.1	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	5	5	5	9.8	9.8	9.8	92.565	0	11.277	0.0279986535085339	0.0399561752988048	2.542693456014	3.37173726604432	26.4141426086426	26.2074146270752	26.3005638122559	24.7500743865967	24.2554054260254	22.2885608673096	UP	UP	BCAR3
1717	+	1.7374848500943	2.51926422119141	Q15847	Q15847	Adipogenesis regulatory factor	ADIRF	2533	Adipogenesis regulatory factor OS=Homo sapiens OX=9606 GN=ADIRF PE=1 SV=1	3	3	3	1	2	2	3	2	1	2	2	2	3	2	1	2	76	76	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	19.7	19.7	60.5	19.7	19.7	19.7	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	3	3	3	60.5	60.5	60.5	7.8547	0	212.65	0.0183026995223749	0.0318727272727273	2.51926422119141	3.84999351491521	27.7924690246582	28.3470153808594	27.8212852478027	26.2732524871826	24.2279930114746	25.9017314910889	UP	UP	ADIRF
108	+	2.82528311248627	2.50857353210449	O15231	O15231	Zinc finger protein 185	ZNF185	295	Zinc finger protein 185 OS=Homo sapiens OX=9606 GN=ZNF185 PE=1 SV=3	20	20	20	1	19	17	15	5	5	9	19	17	15	5	5	9	689	689	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	31.8	29.9	25.1	10.2	10.9	17.4	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	20	20	20	33.1	33.1	33.1	73.525	0	76.166	0.0014952605920011	0.00870985915492958	2.50857353210449	7.74763387311676	28.9320755004883	29.077220916748	29.2520980834961	26.6578540802002	26.0058822631836	27.0719375610352	UP	UP	ZNF185
785	+	1.94785233235718	2.50253931681315	P28161	P28161	Glutathione S-transferase Mu 2	GSTM2	1262	Glutathione S-transferase Mu 2 OS=Homo sapiens OX=9606 GN=GSTM2 PE=1 SV=2	8	6	2	1	7	7	6	1	2	2	1	2	2	0	0	0	218	218	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	37.2	33.9	28	4.1	7.3	9.2	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	8	6	2	37.2	30.7	7.8	25.744	0	11.696	0.0112758078799189	0.0224941785252264	2.50253931681315	4.44665519543531	26.4821147918701	26.2166748046875	26.4385395050049	24.7358837127686	24.0602035522461	22.8336238861084	UP	UP	GSTM2
1077	+	1.53610064724253	2.48408889770508	P51153	P51153	Ras-related protein Rab-13	RAB13	1657	Ras-related protein Rab-13 OS=Homo sapiens OX=9606 GN=RAB13 PE=1 SV=1	11	9	9	1	5	8	5	3	2	4	4	6	4	1	1	3	203	203	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	28.1	36	23.2	17.2	12.3	25.1	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	11	9	9	42.9	37.4	37.4	22.774	0	46.28	0.0291004264090771	0.0402888229475767	2.48408889770508	3.33019269880362	25.9831142425537	27.2012557983398	27.1013927459717	23.1179161071777	24.4074783325195	25.3081016540527	UP	UP	RAB13
2689	+	1.60510947222119	2.47364552815755	Q9UH99	Q9UH99	SUN domain-containing protein 2	SUN2	4314	SUN domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SUN2 PE=1 SV=3	10	10	10	1	7	8	6	2	2	6	7	8	6	2	2	6	717	717	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	15.3	16.5	14.2	4.3	3.3	13.9	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	10	10	10	21.9	21.9	21.9	80.31	0	28.218	0.0248250726303813	0.0374969072164948	2.47364552815755	3.50315844992595	27.1658592224121	27.2163238525391	27.2434539794922	23.6370697021484	24.5154819488525	26.0521488189697	UP	UP	SUN2
1437	+	1.51019645315997	2.44215647379557	Q07866	Q07866	Kinesin light chain 1	KLC1	2139	Kinesin light chain 1 OS=Homo sapiens OX=9606 GN=KLC1 PE=1 SV=2	26	26	19	1	19	18	21	4	10	13	14	14	16	3	8	11	573	573	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	38.7	35.8	42.1	11.5	20.2	23.9	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	26	26	19	47.6	47.6	31.1	65.309	0	276.67	0.0308889785313265	0.041704347826087	2.44215647379557	3.26656510796865	29.2738437652588	29.4139938354492	29.2594356536865	25.3870277404785	27.5068817138672	27.7268943786621	UP	UP	KLC1
353	+	2.65140868491702	2.42873700459798	O95786	O95786	Probable ATP-dependent RNA helicase DDX58	DDX58	656	Probable ATP-dependent RNA helicase DDX58 OS=Homo sapiens OX=9606 GN=DDX58 PE=1 SV=2	8	8	8	1	6	5	5	1	0	0	6	5	5	1	0	0	925	925	By MS/MS	By MS/MS	By MS/MS	By matching			7.4	6.3	6.6	1.3	0	0	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	8	8	8	10.2	10.2	10.2	106.6	0	9.0992	0.00223147134899604	0.0109598108747045	2.42873700459798	6.96684414748566	25.5222606658936	25.5387210845947	25.4610462188721	22.9645671844482	23.7299022674561	22.5413475036621	UP	UP	DDX58
372	+	1.53559076884974	2.42112922668457	O96033	O96033	Molybdopterin synthase sulfur carrier subunit	MOCS2	684	Molybdopterin synthase sulfur carrier subunit OS=Homo sapiens OX=9606 GN=MOCS2 PE=1 SV=1	2	2	2	1	2	2	2	1	0	1	2	2	2	1	0	1	88	88	By MS/MS	By MS/MS	By MS/MS	By MS/MS		By MS/MS	37.5	37.5	37.5	21.6	0	21.6	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	2	2	2	37.5	37.5	37.5	9.7552	0	12.2	0.0291346114901164	0.0401696252465483	2.42112922668457	3.32893359966198	25.9298534393311	26.1501369476318	26.27880859375	24.9920463562012	23.6000843048096	22.5032806396484	UP	UP	MOCS2
1102	+	3.97698966809243	2.41000429789225	P52566	P52566	Rho GDP-dissociation inhibitor 2	ARHGDIB	1693	Rho GDP-dissociation inhibitor 2 OS=Homo sapiens OX=9606 GN=ARHGDIB PE=1 SV=3	15	15	15	1	13	13	11	6	7	8	13	13	11	6	7	8	201	201	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	82.1	82.1	75.1	45.8	57.7	69.2	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	15	15	15	82.1	82.1	82.1	22.988	0	198.56	0.000105441198065549	0.00342857142857143	2.41000429789225	15.3367290706234	30.2866992950439	30.5382518768311	30.6992568969727	27.8993129730225	28.2323322296143	28.1625499725342	UP	UP	ARHGDIB
2548	+	2.25875789840128	2.40275382995605	Q9NRW3	Q9NRW3	DNA dC->dU-editing enzyme APOBEC-3C	APOBEC3C	4077	DNA dC->dU-editing enzyme APOBEC-3C OS=Homo sapiens OX=9606 GN=APOBEC3C PE=1 SV=2	5	5	5	1	4	3	3	0	0	1	4	3	3	0	0	1	190	190	By MS/MS	By MS/MS	By MS/MS			By MS/MS	24.7	21.1	19.5	0	0	5.3	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	5	5	5	35.8	35.8	35.8	22.826	0	19.954	0.00551114835006891	0.0163005008347245	2.40275382995605	5.44872028381566	26.7466316223145	26.8342456817627	27.360933303833	23.8008518218994	24.8243007659912	25.1083965301514	UP	UP	APOBEC3C
1953	+	2.79511000856489	2.36914380391439	Q8IWE2	Q8IWE2	Protein NOXP20	FAM114A1	2993	Protein NOXP20 OS=Homo sapiens OX=9606 GN=FAM114A1 PE=1 SV=2	12	12	12	1	12	11	10	5	5	6	12	11	10	5	5	6	563	563	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	26.3	26.3	25.9	13.1	14.6	18.1	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	12	12	12	26.3	26.3	26.3	60.741	0	114.57	0.00160283933351888	0.0100217391304348	2.36914380391439	7.606812215861	28.6912574768066	29.2672271728516	29.2579078674316	26.3023433685303	26.6547183990479	27.1518993377686	UP	UP	FAM114A1
2091	+	5.41764039864983	2.36607996622721	Q92597	Q92597	Protein NDRG1	NDRG1	3288	Protein NDRG1 OS=Homo sapiens OX=9606 GN=NDRG1 PE=1 SV=1	19	19	19	1	16	16	17	10	12	11	16	16	17	10	12	11	394	394	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	44.4	44.4	48	32.2	33	34.5	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	19	19	19	52.8	52.8	52.8	42.835	0	323.31	3.82260656517781e-06	0	2.36607996622721	35.3483797215953	31.8144798278809	31.9383163452148	31.9265937805176	29.5361404418945	29.4292011260986	29.6158084869385	UP	UP	NDRG1
952	+	5.50818105257676	2.35732396443685	P42574	P42574	Caspase-3;Caspase-3 subunit p17;Caspase-3 subunit p12	CASP3	1489	Caspase-3 OS=Homo sapiens OX=9606 GN=CASP3 PE=1 SV=2	5	5	5	1	3	3	4	1	1	1	3	3	4	1	1	1	277	277	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	15.5	13.7	16.6	5.1	4	4	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	5	5	5	19.9	19.9	19.9	31.608	0	7.3624	3.10326560124024e-06	0	2.35732396443685	37.2444863668094	25.8283004760742	25.7701168060303	25.7013931274414	23.4732303619385	23.3071956634521	23.4474124908447	UP	UP	CASP3
2695	+	2.80582941395531	2.35381253560384	Q9UHD9	Q9UHD9	Ubiquilin-2	UBQLN2	4325	Ubiquilin-2 OS=Homo sapiens OX=9606 GN=UBQLN2 PE=1 SV=2	5	4	4	1	5	5	4	2	2	3	4	4	3	1	1	2	624	624	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	15.9	15.9	12.5	7.1	7.1	10.4	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	5	4	4	15.9	13.1	13.1	65.695	0	22.701	0.00156376175025778	0.00980716253443526	2.35381253560384	7.6565765928701	25.6861896514893	25.6241359710693	25.6208114624023	23.2687568664551	22.769588470459	23.8313541412354	UP	UP	UBQLN2
1985	+	1.91063928023032	2.35371526082357	Q8N556	Q8N556	Actin filament-associated protein 1	AFAP1	3059	Actin filament-associated protein 1 OS=Homo sapiens OX=9606 GN=AFAP1 PE=1 SV=2	4	4	4	1	3	3	3	1	1	1	3	3	3	1	1	1	730	730	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	5.1	5.1	5.1	2.3	2.3	2.3	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	4	4	4	6.3	6.3	6.3	80.724	0	4.5202	0.0122845915091876	0.0232271016311167	2.35371526082357	4.33671882530795	25.3500289916992	26.1708335876465	25.220775604248	23.9431533813477	23.3517417907715	22.3855972290039	UP	UP	AFAP1
2339	+	1.77549812178596	2.33830960591634	Q9BUT1	Q9BUT1	3-hydroxybutyrate dehydrogenase type 2	BDH2	3711	3-hydroxybutyrate dehydrogenase type 2 OS=Homo sapiens OX=9606 GN=BDH2 PE=1 SV=2	4	4	4	1	4	3	2	1	1	1	4	3	2	1	1	1	245	245	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	17.6	11.4	9	4.1	4.9	6.5	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	4	4	4	17.6	17.6	17.6	26.724	0	6.2716	0.0167687958781395	0.0301023255813953	2.33830960591634	3.95349461070084	25.5389289855957	26.4701690673828	26.0879039764404	24.5434341430664	22.7315349578857	23.8071041107178	UP	UP	BDH2
1759	+	2.51822406699781	2.32911682128906	Q2NKX8	Q2NKX8	DNA excision repair protein ERCC-6-like	ERCC6L	2593	DNA excision repair protein ERCC-6-like OS=Homo sapiens OX=9606 GN=ERCC6L PE=1 SV=1	7	7	7	1	5	5	4	2	1	1	5	5	4	2	1	1	1250	1250	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	6.4	6.4	5.3	2.2	1	1	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	7	7	7	8.7	8.7	8.7	141.1	0	14.41	0.00303232630233788	0.0114534161490683	2.32911682128906	6.41625779341002	25.9026985168457	26.3189830780029	25.7175903320313	23.1092910766602	24.2052974700928	23.6373329162598	UP	UP	ERCC6L
1553	+	1.87849449354863	2.32671864827474	Q13620	Q13620	Cullin-4B	CUL4B	2300	Cullin-4B OS=Homo sapiens OX=9606 GN=CUL4B PE=1 SV=4	21	21	16	1	21	18	18	8	5	11	16	13	14	6	3	8	913	913	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	31.7	28.1	29.1	12.8	6.8	17	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	21	21	16	31.7	31.7	26.2	103.98	0	133.57	0.0132283448021835	0.0255240443896424	2.32671864827474	4.24332713306069	28.8973808288574	28.8786506652832	28.8952445983887	27.1366291046143	25.4674968719482	27.0869941711426	UP	UP	CUL4B
704	+	1.72930383580106	2.31351725260417	P21926	P21926	CD9 antigen	CD9	1151	CD9 antigen OS=Homo sapiens OX=9606 GN=CD9 PE=1 SV=4	8	8	8	1	2	2	2	1	2	1	2	2	2	1	2	1	228	228	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	4.4	4.4	4.4	4.4	4.4	4.4	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	8	8	8	25.4	25.4	25.4	25.416	0	323.31	0.0186507441371514	0.0324334085778781	2.31351725260417	3.82795385391073	27.0133972167969	27.4054374694824	26.4039421081543	25.0699329376221	25.2393608093262	23.5729312896729	UP	UP	CD9
1137	+	1.49104785676337	2.27454121907552	P54687	P54687	Branched-chain-amino-acid aminotransferase, cytosolic	BCAT1	1737	Branched-chain-amino-acid aminotransferase, cytosolic OS=Homo sapiens OX=9606 GN=BCAT1 PE=1 SV=3	7	7	7	1	6	5	5	0	0	1	6	5	5	0	0	1	386	386	By MS/MS	By MS/MS	By MS/MS			By matching	22.5	14.8	13.7	0	0	2.8	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	7	7	7	25.9	25.9	25.9	42.966	0	10.988	0.0322813837976065	0.0421497630331754	2.27454121907552	3.21997160451019	25.9348106384277	25.5926055908203	25.5427417755127	23.2216339111328	22.3194713592529	24.7054290771484	UP	UP	BCAT1
1105	+	2.96066609939495	2.25549952189128	P52657	P52657	Transcription initiation factor IIA subunit 2	GTF2A2	1697	Transcription initiation factor IIA subunit 2 OS=Homo sapiens OX=9606 GN=GTF2A2 PE=1 SV=1	3	3	3	1	3	3	2	0	1	2	3	3	2	0	1	2	109	109	By MS/MS	By MS/MS	By MS/MS		By matching	By matching	23.9	23.9	23.9	0	13.8	23.9	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	3	3	3	23.9	23.9	23.9	12.457	0	14.744	0.00109479776113423	0.0061025641025641	2.25549952189128	8.40882285735563	25.4071407318115	25.9430866241455	25.3310813903809	23.2482204437256	23.0136585235596	23.6529312133789	UP	UP	GTF2A2
1168	+	1.92473254278961	2.23881912231445	P56199	P56199	Integrin alpha-1	ITGA1	1775	Integrin alpha-1 OS=Homo sapiens OX=9606 GN=ITGA1 PE=1 SV=2	30	30	30	1	5	5	4	1	2	2	5	5	4	1	2	2	1179	1179	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	4.5	4.7	4.3	1.4	2.2	2.5	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	30	30	30	25.7	25.7	25.7	130.85	0	323.31	0.011892343836207	0.0227755102040816	2.23881912231445	4.37812144552988	24.9415435791016	25.3499603271484	25.9433326721191	24.0088348388672	22.6740703582764	22.8354740142822	UP	UP	ITGA1
2590	+	1.87118481175191	2.23195521036784	Q9NWQ8	Q9NWQ8	Phosphoprotein associated with glycosphingolipid-enriched microdomains 1	PAG1	4146	Phosphoprotein associated with glycosphingolipid-enriched microdomains 1 OS=Homo sapiens OX=9606 GN=PAG1 PE=1 SV=2	6	6	6	1	3	2	2	0	1	1	3	2	2	0	1	1	432	432	By MS/MS	By MS/MS	By MS/MS		By matching	By matching	10.6	8.1	8.1	0	3.9	3.9	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	6	6	6	15.7	15.7	15.7	46.98	0	117.34	0.0134528775204353	0.0260515337423313	2.23195521036784	4.22228954134941	25.1382122039795	26.65212059021	26.2915821075439	24.2183647155762	23.8644237518311	23.3032608032227	UP	UP	PAG1
1130	+	1.39940627750802	2.22671190897623	P53801	P53801	Pituitary tumor-transforming gene 1 protein-interacting protein	PTTG1IP	1726	Pituitary tumor-transforming gene 1 protein-interacting protein OS=Homo sapiens OX=9606 GN=PTTG1IP PE=1 SV=1	4	4	4	1	3	3	4	2	2	3	3	3	4	2	2	3	180	180	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	18.9	18.9	25	18.9	18.9	18.9	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	4	4	4	25	25	25	20.324	0	89.07	0.0398651793688018	0.0499328621908127	2.22671190897623	3.0019517887637	26.7765560150146	26.8166542053223	26.9676322937012	25.0666522979736	23.1841564178467	25.6298980712891	UP	UP	PTTG1IP
859	+	4.0152474641959	2.22615051269531	P33316	P33316	Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial	DUT	1354	Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=DUT PE=1 SV=4	12	12	12	1	10	10	12	7	6	7	10	10	12	7	6	7	252	252	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	42.5	46.4	46.4	33.3	26.2	31.3	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	12	12	12	46.4	46.4	46.4	26.563	0	94.369	9.65500572879727e-05	0.00216091954022988	2.22615051269531	15.6830121943542	29.2817115783691	29.3734951019287	29.4178600311279	27.176549911499	26.8764266967773	27.3416385650635	UP	UP	DUT
1526	+	1.67133337556978	2.208709081014	Q13439	Q13439	Golgin subfamily A member 4	GOLGA4	2265	Golgin subfamily A member 4 OS=Homo sapiens OX=9606 GN=GOLGA4 PE=1 SV=1	26	26	26	1	12	17	14	5	3	8	12	17	14	5	3	8	2230	2230	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	6.7	8.9	7.8	2.9	1.7	4.6	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	26	26	26	14.5	14.5	14.5	261.14	0	77.418	0.0213140816151493	0.0336043243243243	2.208709081014	3.67410434815957	27.3067817687988	27.582763671875	26.7841911315918	25.1770401000977	23.9865036010742	25.8840656280518	UP	UP	GOLGA4
503	+	3.18923324331721	2.187255859375	P09104	P09104;P13929	Gamma-enolase	ENO2	878	Gamma-enolase OS=Homo sapiens OX=9606 GN=ENO2 PE=1 SV=3	20;6	16;2	16;2	2	18	17	16	9	12	15	14	14	13	6	8	11	434	434;434	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	46.1	48.8	41.2	26.5	33.4	38.9	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	20	16	16	56.9	50.2	50.2	47.268	0	323.31	0.000646795152975322	0.00517647058823529	2.187255859375	9.64313619141244	29.8030433654785	29.4045238494873	29.9059829711914	27.1984481811523	27.5874214172363	27.7659130096436	UP	UP	ENO2
991	+	1.80670665219905	2.18436368306478	P46939	P46939;Q13474	Utrophin	UTRN	1538	Utrophin OS=Homo sapiens OX=9606 GN=UTRN PE=1 SV=2	17;1	17;1	15;0	2	13	15	8	0	1	2	11	13	6	0	1	0	3433	3433;957	By MS/MS	By MS/MS	By MS/MS		By MS/MS	By matching	4.5	5.7	3	0	0.5	0.5	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	17	17	15	6.4	6.4	6	394.46	0	25.387	0.0156060627131625	0.0293144208037825	2.18436368306478	4.03984033892939	27.129768371582	26.3774433135986	26.4375228881836	23.5016574859619	24.85622215271	25.033763885498	UP	UP	UTRN
357	+	5.05177705269899	2.17734464009603	O95817	O95817	BAG family molecular chaperone regulator 3	BAG3	661	BAG family molecular chaperone regulator 3 OS=Homo sapiens OX=9606 GN=BAG3 PE=1 SV=3	10	10	10	1	8	8	6	3	3	4	8	8	6	3	3	4	575	575	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	27	24.5	19	8.7	8.7	10.8	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	10	10	10	34.1	34.1	34.1	61.594	0	23.04	8.8761155504713e-06	0	2.17734464009603	28.6154235237146	27.2918453216553	27.4177188873291	27.2589874267578	25.0299377441406	25.2215137481689	25.1850662231445	UP	UP	BAG3
591	+	3.80664406106513	2.16565195719401	P13796	P13796	Plastin-2	LCP1	995	Plastin-2 OS=Homo sapiens OX=9606 GN=LCP1 PE=1 SV=6	10	6	6	1	6	7	6	3	4	4	4	3	3	0	0	0	627	627	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	16.6	14.8	12.6	5.6	7	7	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	10	6	6	23	18	18	70.288	0	31.382	0.000156083120430395	0.00360330578512397	2.16565195719401	13.8828979830054	25.683032989502	25.8452472686768	25.6667385101318	23.3188781738281	23.5574855804443	23.8216991424561	UP	UP	LCP1
